"";"ingrediente_1";"ingrediente_2";"harmonia"
"1";"alface";"cenoura";0,166666666666667
"2";"alface";"beterraba";0,0909090909090909
"3";"alface";"tomate";0,0920245398773006
"4";"alface";"cebola";0,0305555555555556
"5";"alface";"sal";0,0397727272727273
"6";"alface";"acucar";0,00666666666666667
"7";"alface";"azeite";0,0914634146341463
"8";"alface";"vinagre";0,0909090909090909
"9";"alface";"uva-passa";0,08
"10";"alface";"milho";0,0434782608695652
"11";"alface";"presunto";0,025974025974026
"12";"alface";"frango";0,0114942528735632
"13";"alface";"maca";0,0701754385964912
"14";"alface";"maionese";0,0952380952380952
"15";"alface";"tomate-cereja";0,0714285714285714
"16";"alface";"agriao";0,137931034482759
"17";"alface";"pao";0,0645161290322581
"18";"alface";"cebolinha";0,0588235294117647
"19";"alface";"pimenta-do-reino";0,0252100840336134
"20";"alface";"oregano";0,0294117647058824
"21";"alface";"queijo-parmesao";0,0540540540540541
"22";"alface";"salsinha";0,00826446280991736
"23";"alface";"pepino";0,162162162162162
"24";"alface";"rabanete";0,037037037037037
"25";"alface";"limao";0,0317460317460317
"26";"alface";"repolho";0,0652173913043478
"27";"alface";"creme-de-leite";0,0211640211640212
"28";"alface";"mussarela";0,02
"29";"alface";"mostarda";0,0754716981132075
"30";"alface";"cheiro-verde";0,0196078431372549
"31";"alface";"couve-flor";0
"32";"alface";"pimentao";0,0512820512820513
"33";"alface";"coentro";0,0317460317460317
"34";"alface";"manga";0,138888888888889
"35";"alface";"uva";0,0303030303030303
"36";"alface";"morango";0,0425531914893617
"37";"alface";"ovo-de-codorna";0,0357142857142857
"38";"alface";"palmito";0,111111111111111
"39";"alface";"pessego";0,032258064516129
"40";"alface";"rucula";0,161290322580645
"41";"alface";"quiabo";0
"42";"alface";"caldo-de-carne";0,021978021978022
"43";"alface";"alho";0,00359712230215827
"44";"alface";"ovo";0,034965034965035
"45";"alface";"tempero";0,0344827586206897
"46";"alface";"iogurte";0
"47";"alface";"laranja";0
"48";"alface";"kiwi";0
"49";"alface";"mirtilo";0
"50";"alface";"physalis";0
