"ingrediente";"caloria";"carboidrato";"proteina";"gordura";"fibra";"sodio"
"abacaxi";"0";"0.12";"0";"0";"0.01";"0"
"abobrinha";"0.15";"0.03";"0.01";"0";"0.01";"0.00001"
"acafrao";"2";"0.12";"0.05";"0.11";"0";"0"
"acelga";"0.06666666667";"0.01333333333";"0.006666666667";"0";"0";"0"
"acem";"2.12";"0";"0.26";"0.1";"0";"0"
"acerola";"0.16";"0.04";"0";"0";"0.005";"0"
"achocolatado";"0.9";"0.21";"0.01";"0.005";"0.01";"0"
"acucar";"0.89";"0.2275";"0";"0.0025";"0";"0"
"agriao";"0.11";"0.01";"0.02";"0";"0.02";"0"
"agua";"0";"0";"0";"0";"0";"0.00005"
"aguardente";"2.31";"0";"0";"0";"0";"0"
"aipim";"1.42";"0.33";"0.02";"0";"0";"0"
"alcaparra";"0.02058823529";"0.002941176471";"0.001764705882";"0.0005882352941";"0";"0"
"alcatra";"3.5";"0";"0.2";"0.25";"0";"0.00065"
"alecrim";"1.31";"0.21";"0.033";"0.06";"0.14";"0.00026"
"alface";"0.14";"0.02";"0.01";"0";"0.01";"0"
"alho";"0.67";"0.145";"0.025";"0";"0.01";"0"
"ameixa";"0.215";"0.05";"0";"0";"0.01";"0"
"amendoim";"1.154";"0.012";"0.056";"0.096";"0";"0"
"amido-de-milho";"0.688";"0.17";"0.002";"0";"0";"0"
"arroz";"0.726";"0.16";"0.014";"0";"0.002";"0"
"atum";"0.085";"0";"0.015";"0.002";"0";"0"
"aveia";"0.5342857143";"0.09571428571";"0.02";"0.008571428571";"0.01428571429";"0"
"azeite";"0.831";"0";"0";"0.115";"0";"0"
"azeitona";"0.05515151515";"0.000303030303";"0.0006060606061";"0.005757575758";"0";"0"
"bacalhau";"0.74";"0";"0.18";"0";"0";"0"
"bacon";"0.6";"0";"0.03";"0.05";"0";"0.00015"
"banana";"0.098";"0.023";"0.001";"0";"0";"0"
"banana-da-terra";"1.05";"0.27";"0.02";"0";"0";"0"
"batata";"0.85";"0.19";"0.02";"0";"0";"0"
"batata-palha";"0.05";"0.055";"0.005";"0.035";"0.005";"0.000595"
